"","PC1","PC2","PC3","PC4","PC5"
"Display Area (DA)(cm2)",0.485632034174993,0.264322268692733,-0.256280815240829,0.125758729727766,-0.782815050756464
"Specific Petal Area (SPA)(cm2/g)",0.43026703708256,0.167064075836056,0.544144053084488,0.626618782620008,0.245640444098549
"Petal Dry Matter Content (PDMC)(g/g)",-0.44139172409525,-0.191185376921474,-0.443683759988773,0.750625118004157,-0.0725982815006653
"Leaf Area (LA)(cm2)",-0.374823181204382,-0.366319651343886,0.62171596646161,-0.0117360301714829,-0.561810288216353
"Specific Leaf Area (SLA)(cm2/g)",-0.352424554220132,0.588201440974172,0.232568201498321,0.122411204177323,-0.0757511875264198
"Leaf Dry Matter Content (LDMC)(g/g)",0.345701701612885,-0.620886835393349,0.0274481885203771,0.113900562219838,0.0148934783703258
"Eigenvalues",3.57500102908173,1.47843051199837,0.774388675292088,0.172179783627806,2.04251127518757e-30
"Variance_Percent",59.5833504846955,24.6405085333062,12.9064779215348,2.86966306046343,3.40418545864595e-29
"Cumulative_Variance_Percent",59.5833504846955,84.2238590180018,97.1303369395365,100,100
